id,name,chain_identifier
valobit,Valobit,
zircuit,Zircuit,48900
factom,Factom,
megaeth,MegaETH,4326
kusama,Kusama,
picasso,Picasso,
findora,Findora,
bitkub-chain,Bitkub Chain,96
zano,Zano,
sophon,Sophon,50104
onus,ONUS,
empire,Empire,3693
kujira,Kujira,
vite,Vite,
komodo,Komodo,
counterparty,Counterparty,
bitshares,BitShares,
hoo,Hoo,
icon,ICON,
nem,NEM,
nuls,Nuls,
super-zero,Sero,
yocoin,Yocoin,
plume-network,Plume Network,98866
exosama,Exosama,
godwoken,Godwoken,
trustless-computer,Trustless Computer,
neutron,Neutron,
plasma,Plasma,9745
taiko,Taiko,167000
cybria,Cybria,6661
alienx,AlienX,10241024
bahamut,Bahamut,5165
omax,OMAX,311
xodex,XODEX,2415
celestia,Celestia,
aura-network,Aura Network,
echelon,Echelon,
acala,Acala,
everscale,Everscale,
0g,0G,16661
telos,Telos,40
sx-network,SX Network,416
zenon,Zenon,
defi-kingdoms-blockchain,DFK Chain,53935
codex,Codex,
near-protocol,Near Protocol,
titanchain,Titanchain,18888
alephium,Alephium,
omnia,Omnia,2342
lisk,Lisk,1135
tombchain,Tombchain,
callisto,Callisto,
function-x,Function X,530
redlight-chain,Redlight Chain,2611
assetmantle,AssetMantle,
kardiachain,KardiaChain,24
venom,Venom,
neon-evm,Neon EVM,245022934
genesys-network,Genesys Network,16507
okex-chain,OKT Chain,66
tezos,Tezos,
apex,Apex,
winr,WINR,777777
zero-network,Zero Network,
waves,Waves,
bron,Bron,
rari,Rari,1380012617
katana,Katana,747474
nxt,NXT,
mdex,Mdex,
shibarium,Shibarium,
filecoin,Filecoin,314
dmex,DMEX,
curio-chain,Curio Chain,
kava,Kava,2222
zkfair,ZKFair,
opbnb,opBNB,204
quicksilver,Quicksilver,
matrix,Matrix,
ShibChain,ShibChain,
fusion-network,Fusion Network,
libre,Libre,
gochain,GoChain,
achain,Achain,
omni,Omni,
enq-enecuum,Enecuum,
metaverse-etp,Metaverse ETP,
ardor,Ardor,
stratis,Stratis,
openledger,OpenLedger,
qtum,Qtum,
bitcoin-cash,Simple Ledger Protocol (Bitcoin Cash),
ontology,Ontology,
aleph-zero,Aleph Zero,
hyperevm,HyperEVM,999
redbelly-network,Redbelly Network,151
drc-20,DRC-20,
zetachain,ZetaChain,7000
stellar,Stellar,
casper-network,Casper Network,
xpla,XPLA,
karura,Karura,
rails-network,Rails Network,
chromia,Chromia,
cube,Cube,
bifrost-network,Bifrost Network,
metis-andromeda,Metis Andromeda,1088
neo,NEO,
grx-chain,GRX Chain,1110
cellframe,Cellframe,
quai-network,Quai Network,9
Superposition,Superposition,55244
mantra,Mantra,
hypra-network,Hypra Network,622277
thorchain,Thorchain,
sge,SGE,
alverychain,Alveychain,3797
binancecoin,BNB Beacon Chain,
theta,Theta,361
xdai,Gnosis Chain,100
kasplex,Kaspa,
iota,IOTA,
xrpl-evm,XRPL EVM ,1440000
zklink-nova, zkLink Nova,810180
akash,Akash,
vanar-chain,Vanar Chain,2040
velas,Velas,106
noble,Noble,
eni,ENI,173
meld,Meld,333000333
wemix-network,Wemix Network,1111
flow,Flow,
ancient8,Ancient8,888888888
map-protocol,Map Protocol,22776
coinex-smart-chain,CoinEx Smart Chain,52
tac,TAC,239
zora-network,Zora,7777777
polygon-pos,Polygon POS,137
carnomaly,CarrChain,7667
humanode,Humanode,5234
defichain-evm,DeFiChain EVM,1130
orenium,Orenium,
beamprivacy,BeamPrivacy,
saita-chain,Saita Chain,1209
cyber,Cyber,7560
oasis,Oasis Emerald,42262
harmony-shard-0,Harmony Shard 0,1666600000
ergo,Ergo,
turan-network,TTcoin Smart Chain,
hoo-smart-chain,Hoo Smart Chain,70
onchain,Onchain,27563
juno,Juno,
gatelayer,GateLayer,10088
Bitcichain,Bitcichain,1907
stable,Stable,988
bitcanna,BitCanna,
crescent,Crescent,
movement,Movement,
core,Core,1116
bouncebit,BounceBit,6001
polis-chain,Polis Chain,333999
q-mainnet,Q Mainnet,35441
mixin-network,Mixin Network,
defichain,DeFiChain,
elrond,MultiversX,
furya,Furya,
