id,name,coingecko_asset_platform_id
eth,Ethereum,ethereum
bsc,BNB Chain,binance-smart-chain
polygon_pos,Polygon POS,polygon-pos
avax,Avalanche,avalanche
movr,Moonriver,moonriver
cro,Cronos,cronos
one,Harmony,harmony-shard-0
boba,Boba Network,boba
ftm,Fantom,fantom
bch,SmartBCH,smartbch
aurora,Aurora,aurora
metis,Metis,metis-andromeda
arbitrum,Arbitrum,arbitrum-one
fuse,Fuse,fuse
kcc,Kucoin Community Chain,kucoin-community-chain
iotx,IOTEX,iotex
celo,CELO,celo
xdai,Gnosis XDAI,xdai
glmr,Moonbeam,moonbeam
optimism,Optimism,optimistic-ethereum
nrg,Energi,energi
wan,Wanchain,wanchain
ronin,Ronin,ronin
kai,Kardiachain,kardiachain
mtr,Meter,meter
velas,Velas,velas
sdn,Shiden,shiden network
tlos,Telos,telos
astr,Astar,astar
ela,Elastos,elastos
dfk,DFK Chain,defi-kingdoms-blockchain
evmos,Evmos,evmos
solana,Solana,solana
cfx,Conflux,conflux
bttc,BitTorrent,bittorrent
sxn,SX Network,sx-network
xdc,XDC,xdc-network
kaia,Kaia,klay-token
kava,Kava,kava
bitgert,Bitgert,bitgert
tombchain,Tombchain,tombchain
dogechain,Dogechain,dogechain
findora,Findora,findora
thundercore,ThunderCore,thundercore
arbitrum_nova,Arbitrum Nova,arbitrum-nova
canto,Canto,canto
ethereum_classic,Ethereum Classic,ethereum-classic
step-network,Step Network,step-network
ethw,EthereumPOW,ethereumpow
godwoken,Godwoken,godwoken
songbird,Songbird,songbird
tomochain,Viction,tomochain
platon_network,PlatON Network,platon-network
exosama,Exosama,exosama
oasys,Oasys,oasys
bitkub_chain,KUB,bitkub-chain
wemix,WEMIX,wemix-network
flare,Flare,flare-network
onus,ONUS,onus
aptos,Aptos,aptos
core,Core,core
filecoin,Filecoin,filecoin
zksync,ZkSync,zksync
loopnetwork,LoopNetwork,
multivac,MultiVAC,multivac
polygon-zkevm,Polygon zkEVM,polygon-zkevm
eos-evm,EOS EVM,eos-evm
ultron,Ultron,ultron
sui-network,Sui Network,sui
pulsechain,Pulsechain,pulsechain
enuls,ENULS,enuls
tenet,Tenet,tenet
rollux,Rollux,rollux
starknet-alpha,Starknet,starknet
mantle,Mantle,mantle
neon-evm,Neon EVM,neon-evm
linea,Linea,linea
base,Base,base
bitrock,Bitrock,bitrock
opbnb,opBNB,opbnb
sei-network,Sei Network,sei-network
shibarium,Shibarium,shibarium
manta-pacific,Manta Pacific,manta-pacific
sepolia-testnet,Sepolia Testnet,
hedera-hashgraph,Hedera Hashgraph,hedera-hashgraph
shimmerevm,ShimmerEVM,shimmer_evm
beam,Beam,beam
scroll,Scroll,scroll
lightlink-phoenix,LightLink Phoenix,lightlink
elysium,Elysium,elysium
ton,TON,the-open-network
mode,Mode,mode
defimetachain,DefiMetaChain,defichain-evm
humanode,Humanode,humanode
mxc-zkevm,MXC zkEVM,moonchain
zkfair,ZKFair,zkfair
alveychain,AlveyChain,alveychain
blast-sepolia-testnet,Blast Sepolia (Testnet),
zetachain,ZetaChain,zetachain
oasis-sapphire,Oasis Sapphire,oasis-sapphire
merlin-chain,Merlin Chain,merlin-chain
xai,Xai,xai
immutable-zkevm,Immutable zkEVM,immutable
rails-network,Rails Network,rails-network
