id,name,symbol,country
zerostack,ZeroStack,ZSTK.US,US
texas,Texas,,US
stack-btc,Stack BTC,KASH.AQ,GB
scrypt-strategy,Scrypt Strategy,,NO
convano,Convano,6574.T,JP
xxi,Twenty One Capital,XXI.US,US
onemednet-corporation,OneMedNet Corporation,ONMD.US,US
torrent-capital,Torrent Capital,TORR.V,CA
cosmos-health,Cosmos Health,COSM.US,US
avax-one,AVAX One,,US
safello-group,Safello Group,SFL.ST,SE
frmo-corp,FRMO Corp.,FRMO.US,US
goobit-group,Goobit Group,BTCX.ST,SE
cleancore-solutions,CleanCore Solutions,ZONE.US,US
enlivex,Enlivex,ENLV.US,US
treasury,Treasury,NEDSE.AS,NL
value-creation,Value Creation,9238.T,JP
ddc-enterprise-limited,DDC Enterprise Limited,DDC.US,US
net-holding-a-s,Net Holding A.S.,NTHOL.E.IS,TR
empery-digital-volcon,Empery Digital,EMPD.US,US
gyet-co,Gyet Co.,7603.T,JP
procap-btc,ProCap Financial (formerly ProCap BTC),BRR.US,US
digitalx,DigitalX,DCC.AX,AU
btcs,BTCS,BTCS.US,US
cango,Cango,CANG.US,CN
lite-strategy,Lite Strategy,LITS.US,US
united-states,United States,,US
china,China,,CN
united-kingdom,United Kingdom,,GB
north-korea,North Korea,,KP
bhutan,Bhutan,,BT
el-salvador,El Salvador,,SV
venezuela,Venezuela,,VE
london-bitcoin-company-formerly-vinanz,London Bitcoin Company (formerly Vinanz),BTC.L,GB
satsuma-technology,Satsuma Technology,SATS.L,GB
finland,Finland,,FI
roswell-new-mexico,"Roswell, New Mexico",,US
germany,Germany,,DE
bulgaria,Bulgaria,,BG
bit-digital,Bit Digital,BTBT.US,US
gstechnologies,GSTechnologies,GST.L,AU
s-science-company,S-Science Company,5721.T,JP
ethzilla,Forum Markets (formerly ETHZilla),FRMM.US,US
zooz,ZOOZ,ZOOZ.TA,IL
united-arab-emirates,United Arab Emirates,,AE
bitcoin-depot,Bitcoin Depot,BTM.US,US
evernorth-holdings,Evernorth Holdings,XRPN.US,US
bitfarms-ltd,Keel Infrastructure (formerly Bitfarms),KEEL.US,US
gd-culture-group,GD Culture Group,GDC.US,CN
ai-fusion-capital-group,AI Fusion Capital Group,254A.T,JP
robin-energy,Robin Energy,RBNE.US,CY
thumzup-media,Datacentrex (formerly Thumzup Media),DTCX.US,US
hamak-strategy,Hamak Strategy,HAMA.L,VG
cipher-mining,Cipher Digital Inc (formerly Cipher Mining),CIFR.US,US
metaplanet,Metaplanet,3350.T,JP
forward-industries,Forward Industries,FWDI.US,US
block,Block,XYZ.US,US
btc-digital,BTC Digital,BTCT.US,SG
fundamental-global,FG Nexus,FGNX.US,US
hut-8-mining-corp,Hut 8 Mining Corp,HUT.US,US
lion-group-holding,Lion Group Holding,LGHL.US,SG
gumi-inc,Gumi Inc,3903.T,JP
figma,Figma,FIG.US,US
def-consulting,Def Consulting,4833.T,JP
advanced-bitcoin-technologies-ag,Advanced Bitcoin Technologies AG,ABT.DU,DE
eightco-holdings,Eightco Holdings,ORBS.US,US
h100-group,H100 Group,GS9.F,SE
sui-group-holdings,Sui Group Holdings,SUIG.US,US
tesla,Tesla,TSLA.US,US
the-ether-machine,The Ether Machine,ETHM.US,US
crypto-blockchain-industries,Crypto Blockchain Industries,ALCBI.PA,FR
cypherpunk-technologies,Cypherpunk Technologies,CYPH.US,US
bigg-digital-assets,BIGG Digital Assets,BIGG.V,CA
btcs-s-a,BTCS S.A.,BTF.WA,PL
hyperion-defi,Hyperion DeFi,HYPD.US,US
lixte-biotechnology,NOMAD Power Solutions (formerly LIXTE Biotechnology),NMAD.US,US
tap-global,Tap Global,TAP.L,GB
belgravia-hartford-capital,Belgravia Hartford Capital,BLGV.CN,CA
mobcast-holdings-inc,WIZE Inc (formerly Mobcast Holdings Inc.),3664.T,JP
strategy,Strategy,MSTR.US,US
tao-synergies,TAO Synergies,TAOX.US,US
where-food-comes-from,Where Food Comes From,WFCF.US,US
phoenix-group-plc,Phoenix Group PLC,PHX.AD,AE
sixty-six-capital,Sixty-Six Capital,SIX.CN,CA
jasmine-international-pcl,Jasmine International PCL,JAS.BK,TH
pioneer-ai-foundry-inc,Pioneer AI Foundry Inc,JPEG.NE,CA
3u-holding-ag,3U Holding AG,UUU.DE,DE
bullish,Bullish,BLSH.US,US
hyperliquid-strategies-inc,Hyperliquid Strategies Inc.,PURR.US,US
matador-technologies,Matador Technologies,MATA.V,CA
autris,Autris,AUTR.US,PA
ton-strategy-co,TON Strategy Co,TONX.US,US
globant,Globant,GLOB.US,US
luxxfolio-holdings,Luxxfolio Holdings,LUXX.CN,CA
liveone,LiveOne,LVO.US,US
kindlymd,Nakamoto Inc (formerly KindlyMD),NAKA.US,US
defi-dev,DeFi Development Corp.,DFDV.US,US
parataxis-ethereum-inc,"Parataxis Ethereum, Inc.",290560.KQ,KR
alliance-resource-partners-l-p,"Alliance Resource Partners, L.P.",ARLP.US,US
alphaton-capital,Alpha Compute (formerly AlphaTON Capital),ALP.US,US
bitcoin-treasury-capital,Bitcoin Treasury Capital,BTC-B.SE,SE
green-minerals-as,Green Minerals AS,GEM.OL,NO
wemade,WEMADE,112040.KQ,KR
american-bitcoin,American Bitcoin,ABTC.US,US
sequans-communications-s-a,Sequans Communications S.A.,SQNS.US,FR
meliuz,Méliuz,CASH3.SA,BR
neowiz-holdings,Neowiz holdings,042420.KQ,KR
winland-holdings,Winland Holdings,WELX,US
dmg-blockchain-solutions,DMG Blockchain Solutions,DMGI.V,CA
the-smarter-web-company-plc,The Smarter Web Company PLC,SWC.L,GB
cleanspark,CleanSpark,CLSK.US,US
fragbite-group,Fragbite Group,FRAG.ST,SE
ming-shing-group,Ming Shing Group,MSW.US,HK
hyperscale-data,Hyperscale Data,GPUS.US,US
remixpoint,Remixpoint,3825.T,JP
k-wave-media,K Wave Media,KWM.US,US
fold-holdings,Fold Holdings,FLD.US,US
tron-inc,Tron Inc,TRON.US,US
sphere-3d,Sphere 3D,ANY.US,US
horizon-kinetics-holding-corp,Horizon Kinetics Holding Corp,HKHC.US,US
galaxy-digital-holdings-ltd,Galaxy Digital Holdings Ltd,GLXY.US,US
